key,de,fa,category
services.financing.description,Individuelle Finanzierungslösungen für jeden Bedarf und jedes Budget,راه‌حل‌های تامین مالی شخصی‌سازی شده برای هر نیاز و بودجه,services
services.financing.feature1,Ab 0% Zinsen möglich,امکان سود صفر درصد,services
services.financing.feature2,Schnelle Bearbeitung,پردازش سریع,services
services.financing.feature3,Flexible Laufzeiten,مدت‌های انعطاف‌پذیر,services
services.warranty.title,Garantie & Service,ضمانت و خدمات,services
services.warranty.description,Umfassende Garantie und Serviceleistungen für Ihr Fahrzeug,ضمانت و خدمات جامع برای خودروی شما,services
services.warranty.feature1,Bis zu 3 Jahre Garantie,تا ۳ سال ضمانت,services
services.warranty.feature2,24/7 Pannenhilfe,کمک اضطراری ۲۴/۷,services
services.warranty.feature3,Kostenlose Inspektion,بازرسی رایگان,services
services.tradeIn.title,Inzahlungnahme,خرید خودروی قدیمی,services
services.tradeIn.description,Faire Bewertung und Inzahlungnahme Ihres aktuellen Fahrzeugs,ارزیابی منصفانه و خرید خودروی فعلی شما,services
services.tradeIn.feature1,Kostenlose Bewertung,ارزیابی رایگان,services
services.tradeIn.feature2,Sofortige Auszahlung,پرداخت فوری,services
services.tradeIn.feature3,Abholung vor Ort,تحویل در محل,services
services.export.title,Export & Import,صادرات و واردات,services
services.export.description,Professioneller Export und Import von Fahrzeugen weltweit,صادرات و واردات حرفه‌ای خودرو در سراسر جهان,services
services.export.feature1,Weltweiter Versand,ارسال جهانی,services
services.export.feature2,Zollabwicklung,ترخیص گمرکی,services
services.export.feature3,Exportdokumentation,مستندات صادراتی,services
services.process.title,Unser Prozess,فرآیند ما,services
services.process.step1.title,Beratung,مشاوره,services
services.process.step1.description,Persönliche Beratung und Bedarfsanalyse,مشاوره شخصی و تحلیل نیازها,services
services.process.step2.title,Angebot,پیشنهاد,services
services.process.step2.description,Individuelles Angebot und Finanzierungsplan,پیشنهاد شخصی و برنامه تامین مالی,services
services.process.step3.title,Abwicklung,پردازش,services
services.process.step3.description,Schnelle und professionelle Abwicklung,پردازش سریع و حرفه‌ای,services
services.cta.title,Bereit für den nächsten Schritt?,آماده برای قدم بعدی؟,services
services.cta.description,Kontaktieren Sie uns noch heute für eine kostenlose Beratung und finden Sie Ihr Traumfahrzeug,همین امروز با ما تماس بگیرید برای مشاوره رایگان و پیدا کردن خودروی رویایی‌تان,services
services.cta.button,Jetzt kontaktieren,همین الان تماس بگیرید,services
services.features.title,Leistungen im Überblick,خدمات در یک نگاه,services
services.learnMore,Mehr erfahren,بیشتر بدانید,services
services.process.subtitle,So einfach funktioniert es bei uns,این‌طور ساده کار می‌کند,services
gallery.title,Fahrzeuge,خودروها,gallery
gallery.subtitle,Entdecken Sie unsere Premium-Fahrzeuge,کشف خودروهای پریمیوم ما,gallery
gallery.details.back,Zurück zur Übersicht,بازگشت به نمای کلی,gallery
gallery.details.year,Baujahr,سال ساخت,gallery
gallery.details.mileage,Kilometerstand,کیلومتر,gallery
gallery.details.fuel,Kraftstoff,سوخت,gallery
gallery.details.transmission,Getriebe,گیربکس,gallery
gallery.details.features,Ausstattung,ویژگی‌ها,gallery
gallery.details.price,Preis,قیمت,gallery
gallery.details.financing,Finanzierung ab,تامین مالی از,gallery
gallery.details.month,/Monat,/ماه,gallery
gallery.details.contact,Kontakt aufnehmen,تماس بگیرید,gallery
contact.title,Kontakt,تماس,contact
contact.subtitle,Wir freuen uns auf Ihre Nachricht,ما از شنیدن از شما خوشحال خواهیم شد,contact
contact.form.title,Schreiben Sie uns,به ما بنویسید,contact
contact.form.name,Name,نام,contact
contact.form.email,E-Mail,ایمیل,contact
contact.form.phone,Telefon,تلفن,contact
contact.form.subject,Betreff,موضوع,contact
contact.form.message,Nachricht,پیام,contact
contact.form.submit,Nachricht senden,ارسال پیام,contact
contact.form.success,Vielen Dank für Ihre Nachricht! Wir werden uns so schnell wie möglich bei Ihnen melden.,از پیام شما متشکریم! ما در اسرع وقت با شما تماس خواهیم گرفت.,contact
contact.info.title,Kontaktinformationen,اطلاعات تماس,contact
contact.info.address,Adresse,آدرس,contact
contact.info.phone,Telefon,تلفن,contact
contact.info.email,E-Mail,ایمیل,contact
contact.info.whatsapp,WhatsApp,واتساپ,contact
contact.info.telegram,Telegram,تلگرام,contact
contact.info.instagram,Instagram,اینستاگرام,contact
contact.info.hours,Öffnungszeiten,ساعات کاری,contact
contact.info.showroom,Showroom,نمایشگاه,contact
contact.info.service,Service-Center,مرکز خدمات,contact
contact.info.hoursShowroom,Mo-Fr: 9:00-18:00, Sa: 10:00-14:00,دوشنبه تا جمعه: ۹:۰۰-۱۸:۰۰, شنبه: ۱۰:۰۰-۱۴:۰۰,contact
contact.info.hoursService,Mo-Fr: 8:00-17:00,دوشنبه تا جمعه: ۸:۰۰-۱۷:۰۰,contact
contact.map.title,So finden Sie uns,چگونه ما را پیدا کنید,contact
contact.map.description,Unser Showroom befindet sich in zentraler Lage in Köln. Gerne vereinbaren wir einen Termin für Ihre Besichtigung.,نمایشگاه ما در موقعیت مرکزی کلن قرار دارد. ما خوشحال خواهیم شد که یک قرار ملاقات برای بازدید شما تنظیم کنیم.,contact
contact.data.address.street,Musterstraße 123,خیابان نمونه ۱۲۳,contact
contact.data.address.city,50667 Köln,۵۰۶۶۷ کلن,contact
contact.data.address.country,Deutschland,آلمان,contact
contact.data.phone,+49 221 123 4567,+۴۹ ۲۲۱ ۱۲۳ ۴۵۶۷,contact
contact.data.email,info@bahramautohaus.de,info@bahramautohaus.de,contact
contact.data.whatsapp,+49 221 123 4567,+۴۹ ۲۲۱ ۱۲۳ ۴۵۶۷,contact
contact.data.telegram,@bahramautohaus,@bahramautohaus,contact
contact.data.instagram,@bahramautohaus,@bahramautohaus,contact
contact.data.hours.showroom,Mo-Fr: 9:00-18:00, Sa: 10:00-14:00,دوشنبه تا جمعه: ۹:۰۰-۱۸:۰۰, شنبه: ۱۰:۰۰-۱۴:۰۰,contact
contact.data.hours.service,Mo-Fr: 8:00-17:00,دوشنبه تا جمعه: ۸:۰۰-۱۷:۰۰,contact
about.title,Über Bahram Autohaus,درباره بهرام اتوهاوس,about
about.subtitle,Ihr vertrauensvoller Partner für Premium-Fahrzeuge,شریک قابل اعتماد شما برای خودروهای پریمیوم,about
about.story.title,Unsere Geschichte,داستان ما,about
about.story.description,Gegründet im Jahr 2008, hat sich Bahram Autohaus zu einem der führenden Händler für Premium-Fahrzeuge in Deutschland entwickelt. Unser Erfolg basiert auf einer einfachen Philosophie: Kundenzufriedenheit durch Qualität und Transparenz.,تأسیس شده در سال ۲۰۰۸، بهرام اتوهاوس به یکی از پیشروترین فروشندگان خودروهای پریمیوم در آلمان تبدیل شده است. موفقیت ما بر اساس فلسفه ساده‌ای است: رضایت مشتری از طریق کیفیت و شفافیت.,about
about.story.milestones.0.year,2008,۲۰۰۸,about
about.story.milestones.0.title,Gründung,تأسیس,about
about.story.milestones.0.description,Eröffnung des ersten Standorts in Köln,افتتاح اولین شعبه در کلن,about
about.story.milestones.1.year,2012,۲۰۱۲,about
about.story.milestones.1.title,Expansion,گسترش,about
about.story.milestones.1.description,Eröffnung zweiter Standort und Beginn des Exports,افتتاح شعبه دوم و آغاز صادرات,about
about.story.milestones.2.year,2016,۲۰۱۶,about
about.story.milestones.2.title,Zertifizierung,گواهینامه,about
about.story.milestones.2.description,Zertifizierung durch TÜV SÜD und DEKRA,گواهینامه از TÜV SÜD و DEKRA,about
about.story.milestones.3.year,2020,۲۰۲۰,about
about.story.milestones.3.title,Digitalisierung,دیجیتالی‌سازی,about
about.story.milestones.3.description,Einführung des Online-Showrooms und digitalen Services,معرفی نمایشگاه آنلاین و خدمات دیجیتال,about
about.story.milestones.4.year,2024,۲۰۲۴,about
about.story.milestones.4.title,15 Jahre Erfahrung,۱۵ سال تجربه,about
about.story.milestones.4.description,Feier von 15 Jahren Erfolg und über 2500 verkaufte Fahrzeuge,جشن گرفتن ۱۵ سال موفقیت و بیش از ۲۵۰۰ خودرو فروخته شده,about
about.milestones.title,Unsere Meilensteine,نقاط عطف ما,about
about.values.title,Unsere Werte,ارزش‌های ما,about
about.values.subtitle,Was uns antreibt und auszeichnet,آنچه ما را به حرکت در می‌آورد و متمایز می‌کند,about
about.values.0.title,Qualität,کیفیت,about
about.values.0.description,Jedes Fahrzeug wird sorgfältig geprüft und bietet höchste Qualität.,هر خودرو با دقت بررسی شده و بالاترین کیفیت را ارائه می‌دهد.,about
about.values.1.title,Transparenz,شفافیت,about
about.values.1.description,Ehrliche Beratung und faire Preise ohne versteckte Kosten.,مشاوره صادقانه و قیمت‌های منصفانه بدون هزینه‌های پنهان.,about
about.values.2.title,Kundenzufriedenheit,رضایت مشتری,about
about.values.2.description,Ihre Zufriedenheit ist unser höchstes Ziel.,رضایت شما بالاترین هدف ماست.,about
about.values.3.title,Vertrauen,اعتماد,about
about.values.3.description,Langfristige Beziehungen basierend auf Vertrauen und Integrität.,روابط بلندمدت مبتنی بر اعتماد و درستی.,about
about.team.title,Unser Team,تیم ما,about
about.team.description,Unser erfahrenes Team besteht aus Automobil-Experten mit einer Leidenschaft für Premium-Fahrzeuge.,تیم باتجربه ما از متخصصان خودرو با اشتیاق برای خودروهای پریمیوم تشکیل شده است.,about
about.team.0.name,Bahram Ahmad,بهرام احمد,about
about.team.0.position,Geschäftsführer,مدیرعامل,about
about.team.0.bio,Mit über 20 Jahren Erfahrung in der Automobilbranche.,با بیش از ۲۰ سال تجربه در صنعت خودرو.,about
about.team.1.name,Sarah Müller,سارا مولر,about
about.team.1.position,Verkaufsleitung,مدیر فروش,about
about.team.1.bio,Expertin für Premium-Fahrzeuge und Kundenbetreuung.,متخصص خودروهای پریمیوم و خدمات مشتریان.,about
about.team.2.name,Thomas Weber,توماس وبر,about
about.team.2.position,Serviceleiter,مدیر خدمات,about
about.team.2.bio,Spezialist für Fahrzeugtechnik und -wartung.,متخصص فناوری و نگهداری خودرو.,about
about.team.3.name,Lena Schmidt,لنا اشمیت,about
about.team.3.position,Exportmanagerin,مدیر صادرات,about
about.team.3.bio,Expertin für internationale Fahrzeugexporte.,متخصص در صادرات بین‌المللی خودرو.,about
about.cta.title,Besuchen Sie uns,از ما دیدن کنید,about
about.cta.description,Wir freuen uns auf Ihren Besuch in unserem Showroom in Köln.,ما از بازدید شما در نمایشگاه ما در کلن استقبال می‌کنیم.,about
about.cta.button,Kontaktieren Sie uns,با ما تماس بگیرید,about
